# ./FR-trace starting at Fri Nov  2 19:43:34 2018
################# CONFIG #################
# slot=5400
# samples=10000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_mul 0x22ea
#   monitor1=./num ybn_sqr 0x2b7d
#   monitor2=./num ybn_modexp 0x2d9f
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
208 196 190 
208 196 190 
208 196 190 
208 196 193 
885 199 190 
208 196 179 
318 574 594 
300 199 187 
205 199 187 
208 199 190 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
208 199 190 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
208 202 190 
235 1177 193 
374 199 193 
428 603 356 
205 202 190 
208 199 190 
208 199 187 
205 199 187 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
205 185 193 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
496 199 193 
205 202 187 
205 199 190 
208 196 190 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
392 636 389 
205 199 187 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
624 199 193 
194 199 190 
208 196 190 
267 199 318 
208 196 190 
208 188 190 
208 188 193 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
731 199 193 
208 196 190 
208 196 193 
205 618 179 
208 188 193 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
205 199 193 
205 199 190 
867 199 193 
208 196 190 
199 202 187 
208 202 190 
413 273 493 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
208 199 187 
205 199 187 
586 188 939 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
321 202 187 
205 199 190 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
205 202 190 
208 202 187 
208 196 190 
440 202 187 
211 199 190 
193 273 615 
208 199 193 
205 199 190 
208 199 193 
208 202 193 
288 291 282 
692 199 190 
208 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 190 
562 202 187 
208 199 187 
191 199 190 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
193 484 190 
205 199 190 
208 199 190 
208 199 187 
669 202 187 
194 199 193 
205 199 190 
194 199 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
651 199 187 
208 199 190 
208 199 187 
205 199 187 
205 199 193 
770 202 187 
208 196 190 
208 188 190 
208 188 193 
324 439 315 
205 199 190 
205 202 187 
205 199 187 
205 199 746 
170 188 190 
208 199 187 
205 199 187 
205 199 193 
208 202 193 
211 196 190 
906 202 187 
208 202 187 
267 199 193 
208 202 190 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
205 199 193 
208 202 193 
965 199 526 
208 188 179 
1084 930 362 
205 199 190 
208 202 187 
371 199 193 
208 199 193 
205 199 190 
205 199 190 
208 199 193 
205 199 190 
208 199 193 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
496 199 193 
211 199 190 
205 199 187 
205 199 187 
205 199 193 
208 648 371 
194 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
1085 463 229 
208 199 190 
627 199 193 
194 199 190 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
74 226 190 
77 77 217 
208 199 190 
205 199 190 
205 199 187 
205 199 187 
1150 199 190 
205 199 187 
208 185 179 
208 188 179 
208 185 193 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
642 342 598 
205 196 190 
205 199 190 
208 202 193 
864 199 193 
208 333 232 
463 196 190 
208 202 190 
208 202 190 
77 80 80 
205 199 83 
205 199 80 
208 199 80 
390 669 83 
205 199 80 
205 199 83 
208 188 69 
205 185 72 
208 185 72 
208 185 72 
208 202 83 
303 202 80 
205 199 83 
208 199 83 
208 199 80 
205 199 80 
205 199 80 
205 199 83 
205 199 83 
205 199 83 
194 199 83 
205 199 69 
205 196 72 
205 196 72 
208 199 83 
208 202 80 
1605 595 69 
244 332 83 
205 199 80 
208 199 80 
205 199 83 
205 199 83 
205 199 83 
194 199 83 
205 199 69 
205 196 72 
205 196 72 
205 199 83 
208 202 80 
205 199 80 
205 199 80 
553 202 80 
208 199 80 
191 199 83 
208 196 83 
194 199 83 
208 196 83 
205 199 69 
205 196 72 
933 386 83 
205 199 83 
208 202 80 
205 199 80 
205 199 80 
205 199 80 
202 199 83 
663 202 80 
194 199 83 
205 199 83 
191 199 83 
205 199 69 
350 728 80 
205 199 83 
208 202 83 
208 196 83 
208 199 83 
208 199 80 
205 199 80 
205 199 80 
205 199 83 
205 199 83 
779 202 80 
208 196 83 
208 188 72 
532 609 83 
205 199 83 
208 202 83 
77 196 83 
211 199 193 
208 199 190 
208 199 190 
208 199 193 
205 199 190 
208 199 193 
208 202 193 
205 185 190 
909 202 187 
208 202 187 
267 199 193 
205 202 187 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
407 933 315 
205 196 190 
205 199 190 
208 202 193 
211 196 190 
986 392 820 
208 196 179 
205 196 179 
205 199 190 
380 199 193 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
205 202 190 
208 202 187 
208 196 190 
208 199 193 
496 199 193 
205 202 187 
205 199 190 
208 196 190 
264 1453 618 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
226 241 490 
502 799 193 
205 202 190 
205 199 193 
205 199 190 
205 199 190 
419 238 671 
208 199 187 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
731 199 193 
208 196 190 
874 306 377 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
208 199 187 
205 199 187 
205 199 193 
208 202 193 
864 199 193 
208 196 190 
190 202 187 
208 353 820 
181 199 190 
205 202 190 
205 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
205 199 193 
170 185 1129 
208 185 179 
208 185 179 
208 185 193 
208 202 190 
306 202 187 
205 199 190 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
205 202 190 
208 202 187 
208 196 190 
440 202 187 
211 199 190 
205 217 350 
205 199 190 
208 196 190 
208 196 190 
208 196 190 
208 196 193 
178 217 445 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 190 
562 202 187 
208 199 187 
191 199 190 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 900 
193 196 190 
205 199 190 
692 202 187 
208 196 190 
208 196 190 
194 196 187 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 389 
205 199 190 
205 199 190 
208 196 190 
208 199 190 
779 202 187 
208 196 190 
208 188 190 
208 188 193 
208 202 190 
208 202 187 
205 196 190 
208 199 193 
496 425 425 
208 199 190 
208 199 193 
205 199 190 
208 199 193 
208 202 193 
205 185 190 
909 202 187 
208 202 187 
267 199 193 
205 202 187 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
205 199 190 
208 199 190 
208 185 179 
535 678 285 
208 188 193 
208 202 190 
208 202 187 
371 199 193 
205 196 193 
589 199 190 
205 199 190 
205 199 187 
205 199 187 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
496 199 193 
211 199 190 
205 199 187 
205 199 187 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
891 354 399 
208 202 190 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
624 199 193 
194 199 190 
208 196 190 
876 229 1135 
194 199 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
208 199 187 
205 199 187 
731 199 193 
208 196 190 
208 196 193 
205 202 176 
205 196 193 
368 663 190 
208 202 190 
208 196 176 
205 199 187 
202 199 190 
208 199 190 
208 199 187 
205 199 187 
208 199 190 
208 202 193 
864 199 193 
208 196 190 
199 202 187 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
333 451 190 
205 199 190 
205 199 187 
63 66 217 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
416 234 190 
208 199 190 
309 202 187 
205 196 190 
208 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 190 
205 199 190 
205 188 179 
208 185 179 
205 185 179 
208 185 193 
208 202 190 
208 202 187 
208 202 190 
434 202 187 
211 199 190 
205 199 190 
63 229 190 
66 69 72 
244 1289 83 
874 199 83 
208 185 72 
205 188 72 
